ID,Name,LongLat
2043,Hillcroft Drive (south side of Union),"44.22551, -76.50624"
318,George Street (south side of Stuart),"44.22464, -76.49221"
302,West Street (south side of Bagot),"44.22683, -76.48793"
279,Colborne Street (east side of Division),"44.23478, -76.49327"
285,Pine Street (east side of Division),"44.23916, -76.49428"
232,Fraser Street (east side of Division),"44.24554, -76.49539"
233,Railway Street (east side of Division),"44.24784, -76.49575"
51,Rockford Place (north side of Elliott),"44.25622, -76.50141"
52,Bus Terminal Transfer Point Platform 3,"44.25875, -76.50603"
218,Rigney Street (south side of John Counter),"44.25931, -76.50267"
162,Guthrie Drive (north side of Sutherland),"44.26861, -76.48484"
